Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-27344.809	0.0	-27344.809	-27344.809	-479016.3	1002695.25	-1952.6871	-4390120.5	4799.0	4329.8	4999	59256.12	18922.564	150210.3	26455.154	59255.816	18923.518	150188.28	26584.838	70.99984	27.643824	378.61884	13.138542	-59658.01	915792.3	1418.1602675914764
2	-7909.303	2496.481	-5412.8223	-10405.784	-323528.16	864933.3	-3051.0886	-4985691.5	2524.0	4119.61	9999	53294.723	23196.227	158074.48	-18065.326	53294.27	23195.428	158113.75	-9051.095	83.19706	39.050533	715.1251	23.077808	-54059.2	3270129.2	2820.250653028488
3	-32975.79	0.0	-32975.79	-32975.79	-336949.1	712937.5	-1599.2135	-3362779.8	4799.0	4412.66	14999	54548.68	22253.018	164316.97	-26453.555	54545.23	22258.828	163086.52	-61166.805	114.68035	73.00155	1014.5648	22.360538	-55710.566	6342616.0	4250.436177015305
4	-7210.839	687.62573	-6523.2134	-7898.465	-591368.9	1578684.1	-3883.6445	-10174140.0	2577.0	4206.64	19999	70184.84	21145.625	184029.28	-26892.48	70185.16	21144.879	183653.89	-22063.732	94.960266	52.48791	1025.6768	28.58343	-71062.39	5675065.0	5621.130690813065
5	-1720733.5	0.0	-1720733.5	-1720733.5	-177979.16	540603.1	-3633.1785	-3618922.0	4799.0	4598.31	24999	75884.164	36209.312	1909990.5	-627871.56	75900.55	36086.445	1904760.9	-777245.2	141.83537	230.92517	30091.486	21.9956	-76952.66	668721340.0	7089.307643890381
6	-15574.961	0.0	-15574.961	-15574.961	-331097.66	708846.2	-566.89795	-3685357.8	4799.0	4588.03	29999	76829.76	23113.248	1091337.5	-255107.5	76832.0	22937.584	1114869.5	-139315.14	118.97118	159.57614	18254.854	20.031702	-77773.016	215362220.0	8562.119594812393
7	-18042.895	0.0	-18042.895	-18042.895	-180150.28	534280.7	-474.74817	-3780972.0	4799.0	4498.73	34999	74194.88	17345.574	591159.94	-137745.22	74208.375	17232.773	551464.9	-159364.95	100.308304	149.64764	16576.748	19.411688	-74973.16	44323376.0	10009.051380872726
8	-30310.924	0.0	-30310.924	-30310.924	-387136.4	999987.6	1610.8994	-5503970.0	4799.0	4503.5	39999	71950.81	16056.904	313837.97	-64487.6	71957.766	16053.628	318127.72	-144025.14	93.935394	146.24469	17990.846	23.789005	-72633.625	15731607.0	11477.531131744385
9	-4182.1484	0.0	-4182.1484	-4182.1484	-267244.88	672088.8	783.3816	-3582877.2	4799.0	4475.92	44999	67055.42	15058.95	178924.27	-61403.824	67058.664	15054.118	171630.77	-130142.04	82.14845	116.705086	15625.902	14.011764	-67575.73	8714494.0	12938.574894428253
