Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-411500.0	0.0	-411500.0	-411500.0	-120805.0	177333.44	2000.0	-764700.0	4799.0	4350.24	4999	16385047.0	9886396.0	120579010.0	2144881.2	15547631.0	9429245.0	109478880.0	15634.224	179.95708	240.6417	9941.036	79.54292	-24755904.0	122215780000000.0	1129.3072724342346
2	-1500.0	3500.0	2000.0	-5000.0	-111491.0	186504.84	2000.0	-854200.0	2524.0	4170.62	9999	61561744.0	36124520.0	560965200.0	627179.9	57654756.0	33890744.0	522888800.0	-26531.727	271.25116	286.9158	12085.233	93.35716	-86127490.0	1214705900000000.0	2236.291239500046
3	-85900.0	78400.0	-7500.0	-164300.0	-70825.0	142979.78	2000.0	-914400.0	2510.0	3640.25	14999	120351384.0	253915970.0	121173240000.0	-538547.6	113805220.0	251470290.0	120190796000.0	592.24	311.19305	995.51154	362505.94	99.5704	-157963550.0	2.2070086e+17	3263.8843898773193
4	-101350.0	95950.0	-5400.0	-197300.0	-63493.0	152526.08	2000.0	-754800.0	2466.5	2312.05	19999	161562900.0	894782900.0	119763660000.0	-5670310.0	153523620.0	892583300.0	118936010000.0	-31592.355	663.3729	7292.7783	737562.75	116.91807	-189890530.0	2.734804e+18	4052.096304178238
5	-4300.0	6300.0	2000.0	-10600.0	-63420.0	147155.2	2000.0	-710000.0	2528.5	2996.18	24999	163082800.0	615840600.0	109532996000.0	-7470344.0	153935680.0	618526600.0	109785104000.0	-222550.62	665.48663	6874.688	728714.44	148.62973	-181976140.0	1.7942565e+18	4965.5982401371
6	-1500.0	3500.0	2000.0	-5000.0	-11299.0	36895.164	2000.0	-293000.0	2471.5	2030.42	29999	164822930.0	643595140.0	104014094000.0	-10379572.0	155269140.0	650861600.0	104838650000.0	-568180.44	587.70746	6225.3755	686520.25	101.62918	-178054030.0	1.4821396e+18	5689.49400138855
7	-5000.0	0.0	-5000.0	-5000.0	-6661.0	19389.416	2000.0	-199100.0	2363.0	2024.6	34999	162197570.0	523538560.0	96957940000.0	-12482567.0	153245260.0	533230000.0	98490810000.0	-735654.0	602.78455	5887.5386	1144300.0	150.4508	-172326880.0	9.979538e+17	6410.786383628845
8	-5000.0	0.0	-5000.0	-5000.0	-4700.0	1382.0275	2000.0	-5000.0	921.5	1923.59	39999	160384130.0	561843000.0	91397300000.0	-17773732.0	152558340.0	577158500.0	93496164000.0	-1147510.6	766.922	9660.51	1206345.6	192.14772	-169000640.0	8.521815e+17	7116.471626281738
9	-5000.0	0.0	-5000.0	-5000.0	-4720.0	1371.7142	2000.0	-5000.0	2190.5	1760.07	44999	157074030.0	375342880.0	84606214000.0	-21305478.0	150569520.0	388683650.0	87429390000.0	-1604953.4	759.1714	7552.6455	1228335.1	222.56192	-164953440.0	5.3492962e+17	7801.277921915054
10	-5000.0	0.0	-5000.0	-5000.0	-4580.0	1662.4077	2000.0	-5000.0	2274.0	1870.47	49999	156152960.0	339534240.0	80457335000.0	-23813484.0	150784980.0	353807230.0	83701450000.0	-2084948.0	830.59937	8593.411	1815615.2	255.66988	-163713170.0	4.2103805e+17	8507.00378036499
11	-5000.0	0.0	-5000.0	-5000.0	-4790.0	1194.1105	2000.0	-5000.0	2281.0	1870.24	54999	154376830.0	305155070.0	76090800000.0	-26808428.0	149707710.0	320044800.0	79782340000.0	-2738172.8	875.9502	9278.074	1884481.6	306.4766	-161359890.0	3.917257e+17	9209.88807630539
12	-5000.0	0.0	-5000.0	-5000.0	-4440.0	1899.0524	2000.0	-5000.0	2680.0	2166.46	59999	154349840.0	291888580.0	72481240000.0	-37570024.0	150148260.0	308138720.0	76529074000.0	-15837298.0	943.9716	10022.126	2219851.8	273.01813	-160762750.0	3.373804e+17	9972.766234636307
13	-157350.0	152350.0	-5000.0	-309700.0	-4580.0	1662.4078	2000.0	-5000.0	2530.5	2112.15	64999	154850830.0	293002880.0	69319300000.0	-32177390.0	151288180.0	311688860.0	73673400000.0	-4368121.0	1137.1842	14078.684	2812285.8	293.39084	-161037470.0	2.8655833e+17	10758.428169488907
14	-8100.0	0.0	-8100.0	-8100.0	-4790.0	1194.1105	2000.0	-5000.0	4489.0	1626.4	69999	153281140.0	288965470.0	65147208000.0	-38482532.0	150173150.0	310911100.0	69982350000.0	-5967044.0	1182.8265	14787.039	2890627.2	293.24142	-159038700.0	2.0043978e+17	11423.538022756577
15	2000.0	0.0	2000.0	2000.0	-4440.0	1899.0524	2000.0	-5000.0	4799.0	2061.65	74999	152303460.0	216833550.0	61078794000.0	-40430256.0	149598900.0	234716350.0	66402900000.0	-6466413.5	1097.7933	11348.043	3490251.8	291.40686	-158034160.0	2.1599064e+17	12171.45861697197
16	-389200.0	0.0	-389200.0	-389200.0	-4650.0	1525.6145	2000.0	-5000.0	4799.0	1919.89	79999	152045700.0	220684460.0	58283240000.0	-45363948.0	149607180.0	236108940.0	63922586000.0	-7841814.5	1155.9431	12676.544	3651173.2	309.2552	-157704300.0	1.6273786e+17	12935.335592746735
17	-34425.0	50965.598	-5000.0	-122700.0	-4860.0	980.0	2000.0	-5000.0	1156.75	1724.19	84999	150851120.0	262118620.0	55367447000.0	-50131590.0	148916700.0	276132670.0	61359830000.0	-26736328.0	1199.6617	9063.126	2053854.1	344.81873	-156451330.0	2.3805538e+17	13631.53398323059
18	-8300.0	4666.905	-5000.0	-14900.0	-66867.0	150315.83	2000.0	-698200.0	1734.3334	3147.4	89999	148070740.0	210506270.0	51273290000.0	-59782210.0	146561920.0	219832300.0	57773350000.0	-31033708.0	1295.7703	8494.375	1939068.0	341.64102	-153662930.0	1.2513102e+17	14607.940114021301
19	-506900.0	0.0	-506900.0	-506900.0	-110975.0	208655.2	2000.0	-1321000.0	4557.0	3711.78	94999	147195890.0	189256480.0	48608020000.0	-56613650.0	145932020.0	196841800.0	55444693000.0	-30848948.0	1487.7133	10561.824	3030363.8	100.92472	-152527940.0	1.1022532e+17	15731.792776584625
20	-1500.0	3500.0	2000.0	-5000.0	-72917.0	134202.44	2000.0	-736400.0	2900.5	3859.36	99999	146922220.0	174370700.0	46715433000.0	-59742080.0	145835970.0	190060930.0	53787218000.0	-12682036.0	1479.8134	10065.353	2497840.2	376.63837	-152030660.0	1.0800332e+17	16841.0331056118
21	500.0	0.0	500.0	500.0	-87944.0	156627.11	2000.0	-645400.0	4799.0	3633.58	104999	146116300.0	186226820.0	44058173000.0	-65588916.0	145159040.0	192526300.0	51432720000.0	-154087460.0	1677.1974	56085.793	20699612.0	435.01944	-151016380.0	1.0592413e+17	17930.170377016068
22	-254000.0	0.0	-254000.0	-254000.0	-51235.0	90813.52	2000.0	-444400.0	3358.0	3446.73	109999	145273330.0	180719460.0	41650970000.0	-81426056.0	144373380.0	187850990.0	49359143000.0	-131759870.0	1618.1208	44872.133	17444102.0	440.92233	-149842600.0	1.0940321e+17	18987.564283132553
23	-31200.0	26100.0	-5100.0	-57300.0	-53374.0	117122.234	2000.0	-594300.0	2270.0	3289.13	114999	142963150.0	172297390.0	39343310000.0	-543771140.0	142182000.0	190506880.0	47304364000.0	-130693464.0	1628.6191	33535.445	13377762.0	272.14447	-147276260.0	8.868772e+16	20004.054173231125
